"No.","Tên Xã","Chú thích về Xã","No.","Tên Quận/Huyện","Chú thích về Quận/Huyện","No.","Tên Tĩnh","Chú thích về Tĩnh","Tạo từ","Lần cuối chỉnh sửa","Lần cuối xóa"
"","Xã 1249","Chú thích về Xã 1249","","Huyện 157","Chú thích về Huyện 157","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1250","Chú thích về Xã 1250","","Huyện 774","Chú thích về Huyện 774","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1251","Chú thích về Xã 1251","","Huyện 249","Chú thích về Huyện 249","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1252","Chú thích về Xã 1252","","Huyện 666","Chú thích về Huyện 666","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1253","Chú thích về Xã 1253","","Huyện 328","Chú thích về Huyện 328","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1254","Chú thích về Xã 1254","","Huyện 491","Chú thích về Huyện 491","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1255","Chú thích về Xã 1255","","Huyện 502","Chú thích về Huyện 502","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1256","Chú thích về Xã 1256","","Huyện 185","Chú thích về Huyện 185","","Tỉnh 15","Chú thích về Tỉnh 15","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1257","Chú thích về Xã 1257","","Huyện 408","Chú thích về Huyện 408","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1258","Chú thích về Xã 1258","","Huyện 97","Chú thích về Huyện 97","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1259","Chú thích về Xã 1259","","Huyện 48","Chú thích về Huyện 48","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1260","Chú thích về Xã 1260","","Huyện 81","Chú thích về Huyện 81","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1261","Chú thích về Xã 1261","","Huyện 985","Chú thích về Huyện 985","","Tỉnh 8","Chú thích về Tỉnh 8","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1262","Chú thích về Xã 1262","","Huyện 158","Chú thích về Huyện 158","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1263","Chú thích về Xã 1263","","Huyện 244","Chú thích về Huyện 244","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1264","Chú thích về Xã 1264","","Huyện 500","Chú thích về Huyện 500","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1265","Chú thích về Xã 1265","","Huyện 906","Chú thích về Huyện 906","","Tỉnh 41","Chú thích về Tỉnh 41","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1266","Chú thích về Xã 1266","","Huyện 749","Chú thích về Huyện 749","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1267","Chú thích về Xã 1267","","Huyện 443","Chú thích về Huyện 443","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1268","Chú thích về Xã 1268","","Huyện 718","Chú thích về Huyện 718","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1269","Chú thích về Xã 1269","","Huyện 367","Chú thích về Huyện 367","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1270","Chú thích về Xã 1270","","Huyện 147","Chú thích về Huyện 147","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1271","Chú thích về Xã 1271","","Huyện 288","Chú thích về Huyện 288","","Tỉnh 46","Chú thích về Tỉnh 46","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1272","Chú thích về Xã 1272","","Huyện 426","Chú thích về Huyện 426","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1273","Chú thích về Xã 1273","","Huyện 773","Chú thích về Huyện 773","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1274","Chú thích về Xã 1274","","Huyện 113","Chú thích về Huyện 113","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1275","Chú thích về Xã 1275","","Huyện 913","Chú thích về Huyện 913","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1276","Chú thích về Xã 1276","","Huyện 467","Chú thích về Huyện 467","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1277","Chú thích về Xã 1277","","Huyện 666","Chú thích về Huyện 666","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1278","Chú thích về Xã 1278","","Huyện 284","Chú thích về Huyện 284","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1279","Chú thích về Xã 1279","","Huyện 782","Chú thích về Huyện 782","","Tỉnh 46","Chú thích về Tỉnh 46","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1280","Chú thích về Xã 1280","","Huyện 834","Chú thích về Huyện 834","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1281","Chú thích về Xã 1281","","Huyện 986","Chú thích về Huyện 986","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1282","Chú thích về Xã 1282","","Huyện 79","Chú thích về Huyện 79","","Tỉnh 55","Chú thích về Tỉnh 55","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1283","Chú thích về Xã 1283","","Huyện 556","Chú thích về Huyện 556","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1284","Chú thích về Xã 1284","","Huyện 64","Chú thích về Huyện 64","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1285","Chú thích về Xã 1285","","Huyện 522","Chú thích về Huyện 522","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1286","Chú thích về Xã 1286","","Huyện 490","Chú thích về Huyện 490","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1287","Chú thích về Xã 1287","","Huyện 347","Chú thích về Huyện 347","","Tỉnh 58","Chú thích về Tỉnh 58","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1288","Chú thích về Xã 1288","","Huyện 825","Chú thích về Huyện 825","","Tỉnh 41","Chú thích về Tỉnh 41","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1289","Chú thích về Xã 1289","","Huyện 237","Chú thích về Huyện 237","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1290","Chú thích về Xã 1290","","Huyện 862","Chú thích về Huyện 862","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1291","Chú thích về Xã 1291","","Huyện 311","Chú thích về Huyện 311","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1292","Chú thích về Xã 1292","","Huyện 198","Chú thích về Huyện 198","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1293","Chú thích về Xã 1293","","Huyện 783","Chú thích về Huyện 783","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:31","2020-08-25 18:45:31",""
"","Xã 1294","Chú thích về Xã 1294","","Huyện 733","Chú thích về Huyện 733","","Tỉnh 1","Chú thích về Tỉnh 1","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1295","Chú thích về Xã 1295","","Huyện 163","Chú thích về Huyện 163","","Tỉnh 57","Chú thích về Tỉnh 57","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1296","Chú thích về Xã 1296","","Huyện 20","Chú thích về Huyện 20","","Tỉnh 46","Chú thích về Tỉnh 46","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1297","Chú thích về Xã 1297","","Huyện 226","Chú thích về Huyện 226","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1298","Chú thích về Xã 1298","","Huyện 10","Chú thích về Huyện 10","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1299","Chú thích về Xã 1299","","Huyện 835","Chú thích về Huyện 835","","Tỉnh 15","Chú thích về Tỉnh 15","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1300","Chú thích về Xã 1300","","Huyện 446","Chú thích về Huyện 446","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1301","Chú thích về Xã 1301","","Huyện 182","Chú thích về Huyện 182","","Tỉnh 13","Chú thích về Tỉnh 13","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1302","Chú thích về Xã 1302","","Huyện 622","Chú thích về Huyện 622","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1303","Chú thích về Xã 1303","","Huyện 103","Chú thích về Huyện 103","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1304","Chú thích về Xã 1304","","Huyện 564","Chú thích về Huyện 564","","Tỉnh 50","Chú thích về Tỉnh 50","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1305","Chú thích về Xã 1305","","Huyện 50","Chú thích về Huyện 50","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1306","Chú thích về Xã 1306","","Huyện 469","Chú thích về Huyện 469","","Tỉnh 64","Chú thích về Tỉnh 64","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1307","Chú thích về Xã 1307","","Huyện 639","Chú thích về Huyện 639","","Tỉnh 1","Chú thích về Tỉnh 1","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1308","Chú thích về Xã 1308","","Huyện 973","Chú thích về Huyện 973","","Tỉnh 31","Chú thích về Tỉnh 31","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1309","Chú thích về Xã 1309","","Huyện 408","Chú thích về Huyện 408","","Tỉnh 47","Chú thích về Tỉnh 47","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1310","Chú thích về Xã 1310","","Huyện 711","Chú thích về Huyện 711","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1311","Chú thích về Xã 1311","","Huyện 195","Chú thích về Huyện 195","","Tỉnh 17","Chú thích về Tỉnh 17","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1312","Chú thích về Xã 1312","","Huyện 683","Chú thích về Huyện 683","","Tỉnh 1","Chú thích về Tỉnh 1","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1313","Chú thích về Xã 1313","","Huyện 796","Chú thích về Huyện 796","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1314","Chú thích về Xã 1314","","Huyện 421","Chú thích về Huyện 421","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1315","Chú thích về Xã 1315","","Huyện 850","Chú thích về Huyện 850","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1316","Chú thích về Xã 1316","","Huyện 240","Chú thích về Huyện 240","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1317","Chú thích về Xã 1317","","Huyện 591","Chú thích về Huyện 591","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1318","Chú thích về Xã 1318","","Huyện 749","Chú thích về Huyện 749","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1319","Chú thích về Xã 1319","","Huyện 779","Chú thích về Huyện 779","","Tỉnh 5","Chú thích về Tỉnh 5","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1320","Chú thích về Xã 1320","","Huyện 775","Chú thích về Huyện 775","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1321","Chú thích về Xã 1321","","Huyện 258","Chú thích về Huyện 258","","Tỉnh 60","Chú thích về Tỉnh 60","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1322","Chú thích về Xã 1322","","Huyện 442","Chú thích về Huyện 442","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1323","Chú thích về Xã 1323","","Huyện 330","Chú thích về Huyện 330","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1324","Chú thích về Xã 1324","","Huyện 594","Chú thích về Huyện 594","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1325","Chú thích về Xã 1325","","Huyện 484","Chú thích về Huyện 484","","Tỉnh 5","Chú thích về Tỉnh 5","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1326","Chú thích về Xã 1326","","Huyện 56","Chú thích về Huyện 56","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1327","Chú thích về Xã 1327","","Huyện 766","Chú thích về Huyện 766","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1328","Chú thích về Xã 1328","","Huyện 802","Chú thích về Huyện 802","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1329","Chú thích về Xã 1329","","Huyện 271","Chú thích về Huyện 271","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1330","Chú thích về Xã 1330","","Huyện 299","Chú thích về Huyện 299","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1331","Chú thích về Xã 1331","","Huyện 152","Chú thích về Huyện 152","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1332","Chú thích về Xã 1332","","Huyện 833","Chú thích về Huyện 833","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1333","Chú thích về Xã 1333","","Huyện 623","Chú thích về Huyện 623","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1334","Chú thích về Xã 1334","","Huyện 129","Chú thích về Huyện 129","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1335","Chú thích về Xã 1335","","Huyện 856","Chú thích về Huyện 856","","Tỉnh 55","Chú thích về Tỉnh 55","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1336","Chú thích về Xã 1336","","Huyện 473","Chú thích về Huyện 473","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1337","Chú thích về Xã 1337","","Huyện 146","Chú thích về Huyện 146","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1338","Chú thích về Xã 1338","","Huyện 283","Chú thích về Huyện 283","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1339","Chú thích về Xã 1339","","Huyện 739","Chú thích về Huyện 739","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1340","Chú thích về Xã 1340","","Huyện 613","Chú thích về Huyện 613","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1341","Chú thích về Xã 1341","","Huyện 824","Chú thích về Huyện 824","","Tỉnh 46","Chú thích về Tỉnh 46","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1342","Chú thích về Xã 1342","","Huyện 354","Chú thích về Huyện 354","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1343","Chú thích về Xã 1343","","Huyện 855","Chú thích về Huyện 855","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1344","Chú thích về Xã 1344","","Huyện 413","Chú thích về Huyện 413","","Tỉnh 45","Chú thích về Tỉnh 45","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1345","Chú thích về Xã 1345","","Huyện 629","Chú thích về Huyện 629","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1346","Chú thích về Xã 1346","","Huyện 90","Chú thích về Huyện 90","","Tỉnh 60","Chú thích về Tỉnh 60","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1347","Chú thích về Xã 1347","","Huyện 190","Chú thích về Huyện 190","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1348","Chú thích về Xã 1348","","Huyện 512","Chú thích về Huyện 512","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1349","Chú thích về Xã 1349","","Huyện 496","Chú thích về Huyện 496","","Tỉnh 58","Chú thích về Tỉnh 58","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1350","Chú thích về Xã 1350","","Huyện 959","Chú thích về Huyện 959","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1351","Chú thích về Xã 1351","","Huyện 522","Chú thích về Huyện 522","","Tỉnh 64","Chú thích về Tỉnh 64","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1352","Chú thích về Xã 1352","","Huyện 776","Chú thích về Huyện 776","","Tỉnh 14","Chú thích về Tỉnh 14","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1353","Chú thích về Xã 1353","","Huyện 982","Chú thích về Huyện 982","","Tỉnh 58","Chú thích về Tỉnh 58","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1354","Chú thích về Xã 1354","","Huyện 933","Chú thích về Huyện 933","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1355","Chú thích về Xã 1355","","Huyện 686","Chú thích về Huyện 686","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1356","Chú thích về Xã 1356","","Huyện 267","Chú thích về Huyện 267","","Tỉnh 45","Chú thích về Tỉnh 45","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1357","Chú thích về Xã 1357","","Huyện 952","Chú thích về Huyện 952","","Tỉnh 21","Chú thích về Tỉnh 21","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1358","Chú thích về Xã 1358","","Huyện 479","Chú thích về Huyện 479","","Tỉnh 44","Chú thích về Tỉnh 44","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1359","Chú thích về Xã 1359","","Huyện 615","Chú thích về Huyện 615","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1360","Chú thích về Xã 1360","","Huyện 235","Chú thích về Huyện 235","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1361","Chú thích về Xã 1361","","Huyện 169","Chú thích về Huyện 169","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1362","Chú thích về Xã 1362","","Huyện 650","Chú thích về Huyện 650","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1363","Chú thích về Xã 1363","","Huyện 599","Chú thích về Huyện 599","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1364","Chú thích về Xã 1364","","Huyện 391","Chú thích về Huyện 391","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1365","Chú thích về Xã 1365","","Huyện 731","Chú thích về Huyện 731","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1366","Chú thích về Xã 1366","","Huyện 125","Chú thích về Huyện 125","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1367","Chú thích về Xã 1367","","Huyện 725","Chú thích về Huyện 725","","Tỉnh 5","Chú thích về Tỉnh 5","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1368","Chú thích về Xã 1368","","Huyện 465","Chú thích về Huyện 465","","Tỉnh 22","Chú thích về Tỉnh 22","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1369","Chú thích về Xã 1369","","Huyện 785","Chú thích về Huyện 785","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1370","Chú thích về Xã 1370","","Huyện 87","Chú thích về Huyện 87","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1371","Chú thích về Xã 1371","","Huyện 318","Chú thích về Huyện 318","","Tỉnh 8","Chú thích về Tỉnh 8","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1372","Chú thích về Xã 1372","","Huyện 348","Chú thích về Huyện 348","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1373","Chú thích về Xã 1373","","Huyện 13","Chú thích về Huyện 13","","Tỉnh 6","Chú thích về Tỉnh 6","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1374","Chú thích về Xã 1374","","Huyện 126","Chú thích về Huyện 126","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1375","Chú thích về Xã 1375","","Huyện 496","Chú thích về Huyện 496","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1376","Chú thích về Xã 1376","","Huyện 98","Chú thích về Huyện 98","","Tỉnh 18","Chú thích về Tỉnh 18","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1377","Chú thích về Xã 1377","","Huyện 390","Chú thích về Huyện 390","","Tỉnh 60","Chú thích về Tỉnh 60","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1378","Chú thích về Xã 1378","","Huyện 991","Chú thích về Huyện 991","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1379","Chú thích về Xã 1379","","Huyện 581","Chú thích về Huyện 581","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1380","Chú thích về Xã 1380","","Huyện 853","Chú thích về Huyện 853","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1381","Chú thích về Xã 1381","","Huyện 740","Chú thích về Huyện 740","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1382","Chú thích về Xã 1382","","Huyện 258","Chú thích về Huyện 258","","Tỉnh 50","Chú thích về Tỉnh 50","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1383","Chú thích về Xã 1383","","Huyện 400","Chú thích về Huyện 400","","Tỉnh 44","Chú thích về Tỉnh 44","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1384","Chú thích về Xã 1384","","Huyện 389","Chú thích về Huyện 389","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1385","Chú thích về Xã 1385","","Huyện 58","Chú thích về Huyện 58","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1386","Chú thích về Xã 1386","","Huyện 591","Chú thích về Huyện 591","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1387","Chú thích về Xã 1387","","Huyện 333","Chú thích về Huyện 333","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1388","Chú thích về Xã 1388","","Huyện 870","Chú thích về Huyện 870","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1389","Chú thích về Xã 1389","","Huyện 716","Chú thích về Huyện 716","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1390","Chú thích về Xã 1390","","Huyện 542","Chú thích về Huyện 542","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1391","Chú thích về Xã 1391","","Huyện 113","Chú thích về Huyện 113","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:32","2020-08-25 18:45:32",""
"","Xã 1392","Chú thích về Xã 1392","","Huyện 33","Chú thích về Huyện 33","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:32","2020-08-25 18:45:32",""
